source,career_age,n,mean,median
empirical,0,2032,4.318335502855497,3.2254690051933212
empirical,1,2112,4.632843228141686,3.3456189356921056
empirical,2,2172,5.888196449014811,4.667694222626299
empirical,3,2213,7.04655648020829,5.549047000824661
empirical,4,2244,7.517096613280623,5.988513030183942
empirical,5,2237,7.754937692783815,6.352936743250421
empirical,6,2175,7.417675705088093,5.788445453647317
empirical,7,2117,7.090077121968189,5.549047000824661
empirical,8,2037,6.743448023100086,5.084821644986893
empirical,9,1959,6.545721366483013,4.775004461937235
empirical,10,1869,6.43438243658042,4.630756362917854
empirical,11,1791,6.367236392417566,4.6144047052993615
empirical,12,1682,6.132301294209976,4.361450671303054
empirical,13,1583,6.090734539547615,4.361450671303054
empirical,14,1471,5.828297427153599,3.811036551090419
empirical,15,1351,5.8518827488704295,3.81361623374017
empirical,16,1252,5.951174528735456,4.066593372107327
empirical,17,1158,6.006146914366165,4.20778878591725
empirical,18,1078,5.765040534171146,4.063429644322265
empirical,19,1011,5.91421101619274,3.694654372707577
empirical,20,940,5.8270966037981395,3.7503194820633063
simulated,0,10000,4.270700868559327,2.9974564058962736
simulated,1,10000,4.9689392726184165,3.805512185574858
simulated,2,10000,6.541052077619304,5.128103059521102
simulated,3,10000,7.423934035057333,6.005869589203575
simulated,4,10000,8.041995223735016,6.646688427049979
simulated,5,10000,8.44517931279309,7.04638983327727
simulated,6,10000,7.7204324656259065,6.427500665151842
simulated,7,10000,7.502678292614204,6.222640978154171
simulated,8,10000,7.268905142285755,5.967703305770199
simulated,9,10000,7.265599746282416,6.082973829203702
simulated,10,10000,7.219172450992109,5.932735184147583
simulated,11,10000,7.108838499210635,5.842550826887946
simulated,12,10000,6.6940040300136925,5.50498379340679
simulated,13,10000,6.486512595195091,5.331717851819203
simulated,14,10000,6.318257421978782,5.218084508554508
simulated,15,10000,6.234287074351731,5.114304381736402
simulated,16,10000,6.190317625861406,5.099003150370786
simulated,17,10000,6.101114187562465,5.099343616885143
simulated,18,10000,6.128426658698387,5.0245141064591525
simulated,19,10000,6.092146237917245,4.989779276983355
simulated,20,10000,6.117763305675685,5.024234934486227
