source,aggregation,metric,value
empirical,year_20,gini,0.5413274434795314
empirical,year_20,top_1_percent_share,0.0646678249651325
empirical,year_20,top_5_percent_share,0.22698657433374111
empirical,year_20,top_10_percent_share,0.36617017992984996
simulated,year_20,gini,0.4140907941324179
simulated,year_20,top_1_percent_share,0.041296358442600795
simulated,year_20,top_5_percent_share,0.1560834151333111
simulated,year_20,top_10_percent_share,0.2679889122322264
empirical,last_four,gini,0.45372502787379654
empirical,last_four,top_1_percent_share,0.05968772860942944
empirical,last_four,top_5_percent_share,0.19408918640205872
empirical,last_four,top_10_percent_share,0.3131756061393796
simulated,last_four,gini,0.3086634261154253
simulated,last_four,top_1_percent_share,0.03205313167014131
simulated,last_four,top_5_percent_share,0.12650738606988307
simulated,last_four,top_10_percent_share,0.22240055585018728
empirical,full_career,gini,0.36862356898977033
empirical,full_career,top_1_percent_share,0.042119377451766256
empirical,full_career,top_5_percent_share,0.16082397035321486
empirical,full_career,top_10_percent_share,0.2665646755299221
simulated,full_career,gini,0.17499339543988812
simulated,full_career,top_1_percent_share,0.021247345091202557
simulated,full_career,top_5_percent_share,0.08964314057787338
simulated,full_career,top_10_percent_share,0.1642594168035341
