source,aggregation,theoretical,observed
empirical,year_20,-3.1360622107035723,-1.7343333396187717
empirical,year_20,-2.798315782373834,-1.7343333396187717
empirical,year_20,-2.6290791214518356,-1.7343333396187717
empirical,year_20,-2.5125473647737695,-1.7343333396187717
empirical,year_20,-2.422574654883366,-1.7343333396187717
empirical,year_20,-2.3487684417888963,-1.7343333396187717
empirical,year_20,-2.285897188530672,-1.7343333396187717
empirical,year_20,-2.2309425988364873,-1.7343333396187717
empirical,year_20,-2.1819992369955354,-1.7343333396187717
empirical,year_20,-2.1377843892654487,-1.7343333396187717
empirical,year_20,-2.097391825658233,-1.7343333396187717
empirical,year_20,-2.060156712617163,-1.7343333396187717
empirical,year_20,-2.025576329929193,-1.7343333396187717
empirical,year_20,-1.9932609806063601,-1.7343333396187717
empirical,year_20,-1.9629022418118063,-1.7343333396187717
empirical,year_20,-1.9342516742172529,-1.7343333396187717
empirical,year_20,-1.9071061014429707,-1.7343333396187717
empirical,year_20,-1.8812971621466819,-1.701718014139458
empirical,year_20,-1.8566837245335719,-1.701718014139458
empirical,year_20,-1.8331462687047537,-1.701718014139458
empirical,year_20,-1.8105826528586146,-1.701718014139458
empirical,year_20,-1.788904872381089,-1.701718014139458
empirical,year_20,-1.7680365441638028,-1.6685981111367094
empirical,year_20,-1.747910929206863,-1.6685981111367094
empirical,year_20,-1.7284693605734749,-1.6685981111367094
empirical,year_20,-1.7096599806230708,-1.6685981111367094
empirical,year_20,-1.6914367170576547,-1.6685981111367094
empirical,year_20,-1.6737584453984116,-1.6349571719293794
empirical,year_20,-1.6565882984689142,-1.6349571719293794
empirical,year_20,-1.6398930928762294,-1.6349571719293794
empirical,year_20,-1.6236428494075719,-1.6349571719293794
empirical,year_20,-1.6078103894150328,-1.6007778929453838
empirical,year_20,-1.5923709931388101,-1.6007778929453838
empirical,year_20,-1.5773021088658892,-1.6007778929453838
empirical,year_20,-1.5625831040808502,-1.6007778929453838
empirical,year_20,-1.5481950515136338,-1.6007778929453838
empirical,year_20,-1.5341205443525463,-1.6007778929453838
empirical,year_20,-1.5203435359622801,-1.5660420653909375
empirical,year_20,-1.5068492002949412,-1.5660420653909375
empirical,year_20,-1.4936238098579813,-1.5660420653909375
empirical,year_20,-1.4806546286450613,-1.5660420653909375
empirical,year_20,-1.467929817873301,-1.5660420653909375
empirical,year_20,-1.4554383527253194,-1.5660420653909375
empirical,year_20,-1.443169948584101,-1.5660420653909375
empirical,year_20,-1.431114995486212,-1.5660420653909375
empirical,year_20,-1.4192644997146349,-1.5660420653909375
empirical,year_20,-1.4076100316145554,-1.5307305093321568
empirical,year_20,-1.396143678850179,-1.5307305093321568
empirical,year_20,-1.3848580044332275,-1.5307305093321568
empirical,year_20,-1.3737460089481346,-1.5307305093321568
empirical,year_20,-1.362801096478403,-1.5307305093321568
empirical,year_20,-1.3520170438056909,-1.5307305093321568
empirical,year_20,-1.341387972510129,-1.5307305093321568
empirical,year_20,-1.3309083236487567,-1.4948230015476074
empirical,year_20,-1.3205728347303025,-1.4948230015476074
empirical,year_20,-1.3103765187399066,-1.4948230015476074
empirical,year_20,-1.300314644997776,-1.4948230015476074
empirical,year_20,-1.2903827216619153,-1.4948230015476074
empirical,year_20,-1.2805764797076888,-1.4582981964220123
empirical,year_20,-1.2708918582365318,-1.4582981964220123
empirical,year_20,-1.2613249909831312,-1.4582981964220123
empirical,year_20,-1.2518721939051662,-1.4582981964220123
empirical,year_20,-1.2425299537526233,-1.4582981964220123
empirical,year_20,-1.2332949175249746,-1.4582981964220123
empirical,year_20,-1.224163882734393,-1.4582981964220123
empirical,year_20,-1.2151337884018787,-1.4211335390482875
empirical,year_20,-1.206201706720801,-1.4211335390482875
empirical,year_20,-1.197364835329132,-1.4211335390482875
empirical,year_20,-1.1886204901375659,-1.4211335390482875
empirical,year_20,-1.1799660986660494,-1.4211335390482875
empirical,year_20,-1.1713991938458808,-1.4211335390482875
empirical,year_20,-1.1629174082487301,-1.4211335390482875
empirical,year_20,-1.1545184687076242,-1.4211335390482875
empirical,year_20,-1.1462001912982418,-1.3833051695859115
empirical,year_20,-1.137960476651821,-1.3833051695859115
empirical,year_20,-1.1297973055736148,-1.3833051695859115
empirical,year_20,-1.121708734943201,-1.3833051695859115
empirical,year_20,-1.1136928938750754,-1.3833051695859115
empirical,year_20,-1.1057479801198538,-1.3833051695859115
empirical,year_20,-1.0978722566881465,-1.3833051695859115
empirical,year_20,-1.0900640486806923,-1.3833051695859115
empirical,year_20,-1.082321740309752,-1.344787817783211
empirical,year_20,-1.0746437720980244,-1.344787817783211
empirical,year_20,-1.067028638242465,-1.344787817783211
empirical,year_20,-1.0594748841314618,-1.344787817783211
empirical,year_20,-1.051981104004729,-1.3055546864073788
empirical,year_20,-1.044545938746134,-1.3055546864073788
empirical,year_20,-1.0371680738004763,-1.265577322132895
empirical,year_20,-1.0298462372059014,-1.265577322132895
empirical,year_20,-1.0225791977343095,-1.265577322132895
empirical,year_20,-1.015365763132681,-1.265577322132895
empirical,year_20,-1.008204778458799,-1.2248254722112641
empirical,year_20,-1.0010951245053097,-1.1832669249749026
empirical,year_20,-0.9940357163065435,-1.1832669249749026
empirical,year_20,-0.9870255017228969,-1.1832669249749026
empirical,year_20,-0.9800634600979765,-1.1832669249749026
empirical,year_20,-0.9731486009840378,-1.1832669249749026
empirical,year_20,-0.9662799629315718,-1.1408673319068645
empirical,year_20,-0.9594566123391897,-1.0975900086245796
empirical,year_20,-0.9526776423602108,-1.0975900086245796
empirical,year_20,-0.9459421718626262,-1.0975900086245796
empirical,year_20,-0.9392493444393146,-1.0533957116661814
empirical,year_20,-0.9325983274656184,-1.0533957116661814
empirical,year_20,-0.9259883112015692,-1.0533957116661814
empirical,year_20,-0.9194185079362336,-1.0082423874139526
empirical,year_20,-0.9128881511718233,-1.0082423874139526
empirical,year_20,-0.9063964948453513,-1.0082423874139526
empirical,year_20,-0.8999428125857826,-1.0082423874139526
empirical,year_20,-0.8935263970047262,-0.9619940236806817
empirical,year_20,-0.8871465590188761,-0.9619940236806817
empirical,year_20,-0.8808026272024881,-0.9619940236806817
empirical,year_20,-0.8744939471683062,-0.9619940236806817
empirical,year_20,-0.8682198809754411,-0.9619940236806817
empirical,year_20,-0.8619798065627976,-0.9619940236806817
empirical,year_20,-0.8557731172067338,-0.9619940236806817
empirical,year_20,-0.849599221001705,-0.9293786982013676
empirical,year_20,-0.8434575403627359,-0.9293786982013676
empirical,year_20,-0.8373475115486126,-0.9293786982013676
empirical,year_20,-0.8312685842047711,-0.9293786982013676
empirical,year_20,-0.8252202209248984,-0.9293786982013676
empirical,year_20,-0.8192018968303355,-0.9148746547825034
empirical,year_20,-0.8132130991664136,-0.8962587951986194
empirical,year_20,-0.8072533269149051,-0.8962587951986194
empirical,year_20,-0.8013220904218231,-0.8962587951986194
empirical,year_20,-0.7954189110398334,-0.8962587951986194
empirical,year_20,-0.7895433207845997,-0.8962587951986194
empirical,year_20,-0.7836948620044027,-0.8665593460349456
empirical,year_20,-0.777873087062426,-0.8626178559912895
empirical,year_20,-0.7720775580311181,-0.8626178559912895
empirical,year_20,-0.7663078463980862,-0.8626178559912895
empirical,year_20,-0.7605635327829978,-0.8626178559912895
empirical,year_20,-0.7548442066649914,-0.8284385770072935
empirical,year_20,-0.749149466120136,-0.8284385770072935
empirical,year_20,-0.7434789175684844,-0.8284385770072935
empirical,year_20,-0.7378321755303083,-0.8284385770072935
empirical,year_20,-0.7322088623911102,-0.8284385770072935
empirical,year_20,-0.7266086081750297,-0.8284385770072935
empirical,year_20,-0.7210310503262912,-0.8284385770072935
empirical,year_20,-0.7154758334983404,-0.8284385770072935
empirical,year_20,-0.709942609350354,-0.7937027494528474
empirical,year_20,-0.7044310363508017,-0.7663827069438234
empirical,year_20,-0.6989407795877769,-0.7663827069438234
empirical,year_20,-0.6934715105858067,-0.7583911933940668
empirical,year_20,-0.6880229071288791,-0.7583911933940668
empirical,year_20,-0.6825946530894322,-0.7583911933940668
empirical,year_20,-0.6771864382630615,-0.7583911933940668
empirical,year_20,-0.6717979582087189,-0.7583911933940668
empirical,year_20,-0.6664289140941764,-0.7583911933940668
empirical,year_20,-0.6610790125465534,-0.7583911933940668
empirical,year_20,-0.6557479655077002,-0.7583911933940668
empirical,year_20,-0.6504354900942501,-0.7224836856095174
empirical,year_20,-0.6451413084621594,-0.7224836856095174
empirical,year_20,-0.6398651476755574,-0.7224836856095174
empirical,year_20,-0.6346067395797433,-0.7224836856095174
empirical,year_20,-0.6293658206781723,-0.7224836856095174
empirical,year_20,-0.6241421320132724,-0.7224836856095174
empirical,year_20,-0.618935419050959,-0.7143937630784286
empirical,year_20,-0.6137454315686952,-0.6859588804839221
empirical,year_20,-0.6085719235469758,-0.6859588804839221
empirical,year_20,-0.6034146530641012,-0.6859588804839221
empirical,year_20,-0.5982733821941254,-0.6859588804839221
empirical,year_20,-0.5931478769078558,-0.6859588804839221
empirical,year_20,-0.5880379069767997,-0.6859588804839221
empirical,year_20,-0.5829432458799453,-0.6610433435195038
empirical,year_20,-0.5778636707132803,-0.6487942231101976
empirical,year_20,-0.5727989621019448,-0.6487942231101976
empirical,year_20,-0.5677489041149298,-0.6487942231101976
empirical,year_20,-0.5627132841822274,-0.6487942231101976
empirical,year_20,-0.5576918930143483,-0.6487942231101976
empirical,year_20,-0.5526845245241239,-0.6487942231101976
empirical,year_20,-0.5476909757507123,-0.6487942231101976
empirical,year_20,-0.5427110467857331,-0.6109658536478216
empirical,year_20,-0.5377445407014576,-0.6109658536478216
empirical,year_20,-0.5327912634809829,-0.6109658536478216
empirical,year_20,-0.5278510239503246,-0.6109658536478216
empirical,year_20,-0.52292363371236,-0.5724485018451211
empirical,year_20,-0.5180089070825636,-0.5724485018451211
empirical,year_20,-0.5131066610264705,-0.5332153704692888
empirical,year_20,-0.5082167150988134,-0.5102044860242693
