source,career_age,rank_correlation_with_year0
empirical,0,1.0
empirical,1,0.2539986905037155
empirical,2,0.353623806778979
empirical,3,0.27293705973097654
empirical,4,0.25977236958994115
empirical,5,0.19029853181252074
empirical,6,0.15796086477460816
empirical,7,0.16229995843231976
empirical,8,0.24533651857604194
empirical,9,0.17219907517335975
empirical,10,0.17520036610019735
empirical,11,0.1401858123776168
empirical,12,0.20722037144798608
empirical,13,0.20512953988293325
empirical,14,0.18709966553467836
empirical,15,0.2112735325728399
empirical,16,0.17093310175215337
empirical,17,0.17921234800534713
empirical,18,0.13226399473768236
empirical,19,0.13951516467748612
empirical,20,0.1767262314020553
simulated,0,1.0
simulated,1,0.308210100766101
simulated,2,0.12368815114888151
simulated,3,0.05097553147775531
simulated,4,0.025481333402813333
simulated,5,0.01980070384200704
simulated,6,0.0029388298013882977
simulated,7,-0.0038769148347691487
simulated,8,0.0033026376330263763
simulated,9,-0.006897705884977058
simulated,10,-0.0010747909067479091
simulated,11,0.005972484275724842
simulated,12,0.008729510547295106
simulated,13,0.009180944467809444
simulated,14,0.014239624714396246
simulated,15,0.010104113381041134
simulated,16,0.017601512276015124
simulated,17,0.01776746380567464
simulated,18,0.0249954796779548
simulated,19,0.0035275300072753002
simulated,20,0.007032178354321783
