source,value
empirical,13
empirical,20
empirical,4
empirical,7
empirical,19
empirical,1
empirical,17
empirical,18
empirical,15
empirical,15
empirical,2
empirical,7
empirical,7
empirical,12
empirical,11
empirical,13
empirical,15
empirical,11
empirical,9
empirical,11
empirical,8
empirical,20
empirical,8
empirical,13
empirical,1
empirical,13
empirical,14
empirical,12
empirical,8
empirical,3
empirical,5
empirical,5
empirical,14
empirical,3
empirical,7
empirical,12
empirical,1
empirical,3
empirical,4
empirical,8
empirical,6
empirical,5
empirical,6
empirical,4
empirical,12
empirical,8
empirical,6
empirical,9
empirical,6
empirical,14
empirical,14
empirical,3
empirical,6
empirical,13
empirical,16
empirical,2
empirical,11
empirical,10
empirical,9
empirical,18
empirical,2
empirical,18
empirical,14
empirical,13
empirical,5
empirical,10
empirical,7
empirical,7
empirical,9
empirical,5
empirical,6
empirical,6
empirical,16
empirical,4
empirical,18
empirical,8
empirical,5
empirical,6
empirical,0
empirical,10
empirical,0
empirical,3
empirical,5
empirical,0
empirical,13
empirical,18
empirical,10
empirical,2
empirical,11
empirical,0
empirical,6
empirical,5
empirical,13
empirical,6
empirical,12
empirical,11
empirical,4
empirical,6
empirical,1
empirical,20
empirical,7
empirical,7
empirical,20
empirical,19
empirical,4
empirical,5
empirical,3
empirical,7
empirical,14
empirical,3
empirical,16
empirical,13
empirical,3
empirical,18
empirical,4
empirical,1
empirical,7
empirical,15
empirical,11
empirical,7
empirical,4
empirical,9
empirical,13
empirical,8
empirical,9
empirical,1
empirical,11
empirical,4
empirical,16
empirical,1
empirical,19
empirical,9
empirical,7
empirical,5
empirical,13
empirical,7
empirical,5
empirical,13
empirical,7
empirical,5
empirical,10
empirical,6
empirical,19
empirical,5
empirical,20
empirical,6
empirical,3
empirical,7
empirical,2
empirical,7
empirical,18
empirical,9
empirical,1
empirical,6
empirical,0
empirical,19
empirical,14
empirical,19
empirical,2
empirical,18
empirical,10
empirical,3
empirical,4
empirical,4
empirical,3
empirical,10
empirical,6
empirical,5
empirical,6
empirical,18
empirical,6
empirical,13
empirical,13
empirical,17
empirical,13
empirical,3
empirical,2
empirical,9
empirical,17
empirical,9
empirical,1
empirical,11
empirical,0
empirical,2
empirical,16
empirical,5
empirical,13
empirical,19
empirical,19
empirical,11
empirical,6
empirical,18
empirical,3
empirical,7
empirical,19
empirical,2
empirical,17
empirical,3
empirical,12
empirical,7
empirical,19
empirical,6
empirical,5
empirical,6
empirical,6
empirical,5
empirical,18
empirical,20
empirical,3
empirical,5
empirical,14
empirical,18
empirical,19
empirical,15
empirical,1
empirical,7
empirical,3
empirical,0
empirical,9
empirical,19
empirical,10
empirical,6
empirical,13
empirical,4
empirical,16
empirical,14
empirical,7
empirical,13
empirical,3
empirical,14
empirical,12
empirical,0
empirical,5
empirical,4
empirical,5
empirical,15
empirical,7
empirical,15
empirical,6
empirical,7
empirical,4
empirical,13
empirical,8
empirical,6
empirical,7
empirical,0
empirical,13
empirical,15
empirical,7
empirical,5
empirical,0
empirical,7
empirical,8
empirical,13
empirical,10
empirical,18
empirical,12
empirical,20
empirical,16
empirical,6
empirical,5
empirical,16
empirical,5
empirical,4
empirical,18
empirical,11
empirical,1
empirical,9
empirical,6
empirical,6
empirical,20
empirical,2
empirical,3
empirical,7
empirical,20
empirical,6
empirical,14
empirical,1
empirical,4
empirical,9
empirical,14
empirical,7
empirical,5
empirical,0
empirical,16
empirical,19
empirical,3
empirical,9
empirical,16
empirical,3
empirical,3
empirical,11
empirical,8
empirical,9
empirical,18
empirical,1
empirical,0
empirical,8
empirical,5
empirical,4
empirical,1
