source,transition_year,destination_year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
empirical,0,1,2030,0.028678606078155817,-0.02220178323108335,0.002721135310827183,1.5936737091831297,-0.5823980535989995,-0.02220178323108335,0.6043489271770182,1.682465008686662,2.263652304363608
empirical,1,2,2107,0.26798227117511153,0.1735279951996076,-0.06055786351296266,1.435921597314359,-0.2453017297718869,0.1735279951996076,0.8804004766147265,1.8993162364949419,2.416096998647157
empirical,2,3,2166,0.17218322494020413,0.04778207360011577,-0.04156600507468644,1.173423084667986,-0.3080189427536555,0.04778207360011577,0.623638789084199,1.437438652055152,2.228055846874153
empirical,3,4,2208,0.05736720548987415,-0.02220178323108335,-0.046472215729171484,1.105691841597277,-0.4130471988154035,-0.02220178323108335,0.5646104292560135,1.2114498080854823,1.9666334115722202
empirical,4,5,2221,0.02448974913691138,-0.025269911179757076,-0.04009294352445769,1.0861382161656676,-0.4164928573495834,-0.025269911179757076,0.49985837332150895,1.1512141159180274,1.9347881196839176
empirical,5,6,2161,-0.0650208979416563,-0.03157390167524132,0.003661114641773544,1.1244154689831871,-0.549031970209667,-0.03157390167524132,0.3623897627625592,1.0197666973665087,1.7962063410778133
empirical,6,7,2104,-0.052901905047319585,-0.031647381753429016,-0.04358503928552482,1.0332144754442558,-0.5618323419581707,-0.031647381753429016,0.3948670429131529,1.1222176171430343,1.7418478233247685
empirical,7,8,2022,-0.08919471639365834,-0.03236164969941813,-0.0707022609710064,1.0954923858006476,-0.6009872691727058,-0.03236164969941813,0.40868628323911393,1.1413312812547967,1.8338107424122547
empirical,8,9,1952,-0.024380354278389624,-0.0288293065409867,-0.03363716132903005,1.0644605488553667,-0.5416404770988918,-0.0288293065409867,0.4919204937401319,1.1910307601199244,1.8227078420242298
empirical,9,10,1863,-0.05639154939486658,-0.029749089591223132,-0.024863048995471315,1.029375862639773,-0.5704477628421334,-0.029749089591223132,0.43897415161726605,1.1430323772993944,1.7187383176008129
empirical,10,11,1783,-0.020094039662579655,-0.02708827606724129,-0.05457605503378726,1.0526800072918996,-0.5487085540023122,-0.02708827606724129,0.4846343037839296,1.1945395948732411,1.7702725248059625
empirical,11,12,1680,-0.045819174635849204,-0.027737494537440677,-0.05439807743580771,1.0440713155448393,-0.5420605131978511,-0.027737494537440677,0.41357710936936787,1.2324179534900415,1.8243683591219235
empirical,12,13,1575,-0.027012273869974377,-0.02747321378445622,-0.031585556774177626,0.9685244349119947,-0.5447991948109066,-0.02747321378445622,0.4344182223885137,1.2128453420712675,1.7448882418137073
empirical,13,14,1467,-0.08820064372564689,-0.02886478590285102,-0.021923159041796536,0.9919069889451214,-0.5786929534508543,-0.02886478590285102,0.34592678691677425,1.1434545275468082,1.7419696457977878
empirical,14,15,1345,0.003669877538940154,-0.021650356091105327,-0.051548976138791724,1.0131709264441546,-0.5201654585173394,-0.021650356091105327,0.49059898408448044,1.2565757823507262,1.8480741780273058
empirical,15,16,1249,-0.01058943655837979,-0.024611203669602677,-0.03571933017266948,1.1024711978047264,-0.549031970209667,-0.024611203669602677,0.5073125723565597,1.327006819471328,1.8964636982745797
empirical,16,17,1154,0.011618268700557289,-0.02473161504910648,-0.005742964435605291,0.9625974383044487,-0.46800623544374,-0.02473161504910648,0.5008596058124374,1.2486679500882814,1.855918183978134
empirical,17,18,1076,-0.0942326271270428,-0.02895802047510493,-0.034411311003343714,1.0035227855478335,-0.6117725998304562,-0.02895802047510493,0.3327319267568488,1.1584648295790663,1.8166981542240022
empirical,18,19,1006,0.022588794609610684,0.0,-0.028288951645486726,0.9629652786594523,-0.4858544015222812,0.0,0.5008596058124374,1.3222107696906658,1.8117148988858378
empirical,19,20,940,-0.019264899609091387,-0.025384282992255036,-0.015890118234706208,0.954036951205145,-0.5148630549298059,-0.025384282992255036,0.48962192147036704,1.2793483552493377,1.673055657672927
simulated,0,1,10000,0.19015516325787027,0.08250659288083545,-0.5024023082513298,1.0222726517441172,-0.48898034351526387,0.08250659288083545,0.8191481027565878,1.5673741054265702,2.0218914722199877
simulated,1,2,10000,0.24859774837727164,0.15666682092139672,-0.14686474801355143,0.8928558749736015,-0.31615009098942304,0.15666682092139672,0.814190389445135,1.5086571938610207,1.923113369587158
simulated,2,3,10000,0.12255094730739538,0.03834117219883959,-0.1620484673057394,0.8130757322320913,-0.3775414774737565,0.03834117219883959,0.6071564167423713,1.2840450532831225,1.733723248784254
simulated,3,4,10000,0.08744932606537538,0.0030796395639212104,-0.21569893330883905,0.7369115607526711,-0.3775784558167534,0.0030796395639212104,0.5331024283450935,1.1975982293197402,1.6281159229908688
simulated,4,5,10000,0.053258007573674125,-0.03658689778861368,-0.22840049147356067,0.6896382222804838,-0.3824274701256305,-0.03658689778861368,0.49022096912899094,1.098589567676246,1.5650642958430645
simulated,5,6,10000,-0.08120085140988498,-0.15436264272239886,-0.2598937693065817,0.6744739105417532,-0.5014247018510742,-0.15436264272239886,0.3301561873709555,0.9425678643048584,1.3625426561043463
simulated,6,7,10000,-0.024406329254636164,-0.10527295808621573,-0.31000153238802386,0.6859870601082829,-0.4754589217563166,-0.10527295808621573,0.41279525647094917,1.042087722273022,1.4331330770452317
simulated,7,8,10000,-0.032888511980843416,-0.11586156318040652,-0.3251698443923281,0.7015644106366605,-0.4787232579221997,-0.11586156318040652,0.41553784667988297,1.0348766657721997,1.4453202128528744
simulated,8,9,10000,0.0013806136992666528,-0.08636013906078333,-0.2625683390220579,0.7194511210072707,-0.45162585014957285,-0.08636013906078333,0.44896374145727647,1.0946119623538122,1.516021741818082
simulated,9,10,10000,-0.003948693841189763,-0.08488260262493541,-0.32687460550406167,0.7313191356093793,-0.46783183711905174,-0.08488260262493541,0.43610368402592686,1.0839783695357859,1.5419409674573483
simulated,10,11,10000,-0.022071010288209757,-0.09800010586138486,-0.3240083718955822,0.715230804588185,-0.4847918229112226,-0.09800010586138486,0.4248278767106126,1.0384279874130955,1.4886433735490923
simulated,11,12,10000,-0.0442259340041933,-0.12283424530933362,-0.23899220599287085,0.6302603300581385,-0.4669848914630792,-0.12283424530933362,0.36675980836313227,0.9699036319031995,1.3926076769963154
simulated,12,13,10000,-0.022908862680483935,-0.09988340522446104,-0.2443534758269008,0.6370907871485226,-0.4520093436923806,-0.09988340522446104,0.38675250207293976,0.9866922665292585,1.4144527703495275
simulated,13,14,10000,-0.026843646589715064,-0.10903965687409178,-0.2786477896419828,0.6523475995629971,-0.4553394779079042,-0.10903965687409178,0.38682573553467836,1.0121872056814323,1.4207306720672577
simulated,14,15,10000,-0.009925440461010026,-0.08548718206055406,-0.28880781011252643,0.6725875955751445,-0.4495383719145034,-0.08548718206055406,0.41280119839619756,1.044671607521078,1.4682071115107225
simulated,15,16,10000,-0.008810220874371374,-0.08481403198162152,-0.2889231100030045,0.6794285113067543,-0.4558906255113267,-0.08481403198162152,0.43924028907432416,1.0339462748649049,1.4691521877705815
simulated,16,17,10000,-0.009868634425426723,-0.08490399564783324,-0.14729854438024725,0.6553149516306801,-0.4472107072877424,-0.08490399564783324,0.4119747167733295,1.03176163110993,1.4230872311244644
simulated,17,18,10000,-0.0038393419137110756,-0.0698437588203148,-0.2852191400476929,0.6626863495743115,-0.43594835933227616,-0.0698437588203148,0.42959030475510906,1.0395590783089501,1.4184843472243218
simulated,18,19,10000,-0.0006356705519124457,-0.0834276464767344,-0.30617399555821656,0.6841130419191216,-0.4560247039901598,-0.0834276464767344,0.4494724134997229,1.0609303330846376,1.4575103990972662
simulated,19,20,10000,0.0022450725506541827,-0.07995053387209594,-0.2731001616307627,0.6936425620724619,-0.4569745023663798,-0.07995053387209594,0.4545737051946033,1.075060140017352,1.4837531949443183
