source,career_age,n,mean,median
empirical,0,2032,4.318335502855497,3.2254690051933212
empirical,1,2112,4.632843228141686,3.3456189356921056
empirical,2,2172,5.888196449014811,4.667694222626299
empirical,3,2213,7.04655648020829,5.549047000824661
empirical,4,2244,7.517096613280623,5.988513030183942
empirical,5,2237,7.754937692783815,6.352936743250421
empirical,6,2175,7.417675705088093,5.788445453647317
empirical,7,2117,7.090077121968189,5.549047000824661
empirical,8,2037,6.743448023100086,5.084821644986893
empirical,9,1959,6.545721366483013,4.775004461937235
empirical,10,1869,6.43438243658042,4.630756362917854
empirical,11,1791,6.367236392417566,4.6144047052993615
empirical,12,1682,6.132301294209976,4.361450671303054
empirical,13,1583,6.090734539547615,4.361450671303054
empirical,14,1471,5.828297427153599,3.811036551090419
empirical,15,1351,5.8518827488704295,3.81361623374017
empirical,16,1252,5.951174528735456,4.066593372107327
empirical,17,1158,6.006146914366165,4.20778878591725
empirical,18,1078,5.765040534171146,4.063429644322265
empirical,19,1011,5.91421101619274,3.694654372707577
empirical,20,940,5.8270966037981395,3.7503194820633063
simulated,0,10000,4.332365717067673,3.0286514219904745
simulated,1,10000,6.500247403877636,3.6406434340584277
simulated,2,10000,7.492896893205243,3.9589540001567785
simulated,3,10000,7.742226270176475,4.044857923581249
simulated,4,10000,7.864092781844593,4.118554529152011
simulated,5,10000,8.04723660795352,4.146817737632174
simulated,6,10000,8.298033610637201,4.412299785285868
simulated,7,10000,8.380239701911314,4.474402477362069
simulated,8,10000,7.952864160983473,4.037938752674124
simulated,9,10000,7.5611108503907625,3.7509404213844357
simulated,10,10000,7.0067897658558635,3.578895100103902
simulated,11,10000,6.858545753140754,3.41738946090009
simulated,12,10000,6.841223713744569,3.354963075148826
simulated,13,10000,6.702670791575985,3.3432447957438334
simulated,14,10000,6.703191770519077,3.3182548771951583
simulated,15,10000,6.647297124991041,3.3095629404927713
simulated,16,10000,6.750027253593459,3.383022251872674
simulated,17,10000,6.7196268414959865,3.2922808577718308
simulated,18,10000,6.500757472464742,3.238670034476355
simulated,19,10000,6.60178161435278,3.2827617582378195
simulated,20,10000,6.601790372419063,3.2452969137831498
