source,career_age,rank_correlation_with_year0
empirical,0,1.0
empirical,1,0.25399869050371554
empirical,2,0.353623806778979
empirical,3,0.27293705973097654
empirical,4,0.25977236958994115
empirical,5,0.19029853181252077
empirical,6,0.15796086477460816
empirical,7,0.16229995843231976
empirical,8,0.2453365185760419
empirical,9,0.17219907517335972
empirical,10,0.17520036610019735
empirical,11,0.1401858123776168
empirical,12,0.20722037144798608
empirical,13,0.20512953988293323
empirical,14,0.18709966553467833
empirical,15,0.2112735325728399
empirical,16,0.1709331017521534
empirical,17,0.17921234800534713
empirical,18,0.13226399473768236
empirical,19,0.13951516467748612
empirical,20,0.1767262314020553
simulated,0,1.0
simulated,1,0.3710521687571666
simulated,2,0.16498346329002384
simulated,3,0.08343864329345493
simulated,4,0.04422010437653974
simulated,5,0.01484579184793881
simulated,6,0.0006874679474451378
simulated,7,0.021098741870824188
simulated,8,0.01845640437145716
simulated,9,0.014595698853754726
simulated,10,0.014806401540571931
simulated,11,-0.006832344586054867
simulated,12,0.0028746556054117345
simulated,13,-0.0007569541311186906
simulated,14,-0.006427398312957646
simulated,15,-0.011522874382897237
simulated,16,-0.023072836773031503
simulated,17,-0.020717296566979855
simulated,18,-0.008663979832134506
simulated,19,-0.0015924905436301875
simulated,20,0.002499425580037247
