source,start_year,end_year,start_decile,end_decile,count,probability
empirical,0,5,1,1,9,0.1323529411764706
empirical,0,5,1,2,6,0.08823529411764706
empirical,0,5,1,3,2,0.029411764705882353
empirical,0,5,1,4,12,0.17647058823529413
empirical,0,5,1,5,10,0.14705882352941177
empirical,0,5,1,6,9,0.1323529411764706
empirical,0,5,1,7,4,0.058823529411764705
empirical,0,5,1,8,7,0.10294117647058823
empirical,0,5,1,9,7,0.10294117647058823
empirical,0,5,1,10,2,0.029411764705882353
empirical,0,5,2,1,12,0.17647058823529413
empirical,0,5,2,2,11,0.16176470588235295
empirical,0,5,2,3,8,0.11764705882352941
empirical,0,5,2,4,6,0.08823529411764706
empirical,0,5,2,5,5,0.07352941176470588
empirical,0,5,2,6,4,0.058823529411764705
empirical,0,5,2,7,6,0.08823529411764706
empirical,0,5,2,8,7,0.10294117647058823
empirical,0,5,2,9,6,0.08823529411764706
empirical,0,5,2,10,3,0.04411764705882353
empirical,0,5,3,1,10,0.14705882352941177
empirical,0,5,3,2,8,0.11764705882352941
empirical,0,5,3,3,11,0.16176470588235295
empirical,0,5,3,4,7,0.10294117647058823
empirical,0,5,3,5,2,0.029411764705882353
empirical,0,5,3,6,11,0.16176470588235295
empirical,0,5,3,7,5,0.07352941176470588
empirical,0,5,3,8,3,0.04411764705882353
empirical,0,5,3,9,9,0.1323529411764706
empirical,0,5,3,10,2,0.029411764705882353
empirical,0,5,4,1,6,0.08823529411764706
empirical,0,5,4,2,7,0.10294117647058823
empirical,0,5,4,3,4,0.058823529411764705
empirical,0,5,4,4,6,0.08823529411764706
empirical,0,5,4,5,8,0.11764705882352941
empirical,0,5,4,6,8,0.11764705882352941
empirical,0,5,4,7,10,0.14705882352941177
empirical,0,5,4,8,12,0.17647058823529413
empirical,0,5,4,9,4,0.058823529411764705
empirical,0,5,4,10,3,0.04411764705882353
empirical,0,5,5,1,2,0.029411764705882353
empirical,0,5,5,2,4,0.058823529411764705
empirical,0,5,5,3,14,0.20588235294117646
empirical,0,5,5,4,12,0.17647058823529413
empirical,0,5,5,5,0,0.0
empirical,0,5,5,6,2,0.029411764705882353
empirical,0,5,5,7,10,0.14705882352941177
empirical,0,5,5,8,9,0.1323529411764706
empirical,0,5,5,9,8,0.11764705882352941
empirical,0,5,5,10,7,0.10294117647058823
empirical,0,5,6,1,9,0.1323529411764706
empirical,0,5,6,2,7,0.10294117647058823
empirical,0,5,6,3,8,0.11764705882352941
empirical,0,5,6,4,1,0.014705882352941176
empirical,0,5,6,5,15,0.22058823529411764
empirical,0,5,6,6,9,0.1323529411764706
empirical,0,5,6,7,7,0.10294117647058823
empirical,0,5,6,8,2,0.029411764705882353
empirical,0,5,6,9,5,0.07352941176470588
empirical,0,5,6,10,5,0.07352941176470588
empirical,0,5,7,1,5,0.07352941176470588
empirical,0,5,7,2,6,0.08823529411764706
empirical,0,5,7,3,4,0.058823529411764705
empirical,0,5,7,4,9,0.1323529411764706
empirical,0,5,7,5,10,0.14705882352941177
empirical,0,5,7,6,9,0.1323529411764706
empirical,0,5,7,7,2,0.029411764705882353
empirical,0,5,7,8,5,0.07352941176470588
empirical,0,5,7,9,7,0.10294117647058823
empirical,0,5,7,10,11,0.16176470588235295
empirical,0,5,8,1,7,0.10294117647058823
empirical,0,5,8,2,9,0.1323529411764706
empirical,0,5,8,3,8,0.11764705882352941
empirical,0,5,8,4,8,0.11764705882352941
empirical,0,5,8,5,6,0.08823529411764706
empirical,0,5,8,6,5,0.07352941176470588
