cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(1,)",95815.90839383614,96108.22619750969,"[2030, 32079]",2030,1,6,4,95821.90839383614,96112.22619750969,95847.22034351034,96129.10083062583
"(2,)",95842.49971872053,96118.51855803645,"[4137, 29972]",4137,1,6,4,95848.49971872053,96122.51855803645,95873.81166839473,96139.39319115259
"(3,)",95831.18455010072,96109.22956673647,"[6303, 27806]",6303,1,6,4,95837.18455010072,96113.22956673647,95862.49649977492,96130.1041998526
"(4,)",95797.45450965123,96087.8094348782,"[8511, 25598]",8511,1,6,4,95803.45450965123,96091.8094348782,95828.76645932543,96108.68406799434
"(5,)",95757.13488392966,96054.12022966566,"[10732, 23377]",10732,1,6,4,95763.13488392966,96058.12022966566,95788.44683360386,96074.9948627818
"(6,)",95741.64540951751,96024.72502758719,"[12893, 21216]",12893,1,6,4,95747.64540951751,96028.72502758719,95772.95735919171,96045.59966070333
"(7,)",95736.14860691418,96012.53141643712,"[14997, 19112]",14997,1,6,4,95742.14860691418,96016.53141643712,95767.46055658838,96033.40604955326
"(8,)",95728.14754800452,96000.1533180543,"[17019, 17090]",17019,1,6,4,95734.14754800452,96004.1533180543,95759.45949767872,96021.02795117044
"(9,)",95730.70271662646,96002.29709085557,"[18971, 15138]",15138,1,6,4,95736.70271662646,96006.29709085557,95762.01466630066,96023.17172397171
"(10,)",95733.36591881786,96006.7568934616,"[20834, 13275]",13275,1,6,4,95739.36591881786,96010.7568934616,95764.67786849206,96027.63152657774
"(11,)",95731.8220174271,96005.11494717977,"[22617, 11492]",11492,1,6,4,95737.8220174271,96009.11494717977,95763.1339671013,96025.9895802959
"(12,)",95743.54828650839,96017.92733637983,"[24297, 9812]",9812,1,6,4,95749.54828650839,96021.92733637983,95774.86023618259,96038.80196949597
"(13,)",95757.23475474573,96031.2897831597,"[25872, 8237]",8237,1,6,4,95763.23475474573,96035.2897831597,95788.54670441993,96052.16441627583
"(14,)",95776.26855787408,96051.74718551719,"[27339, 6770]",6770,1,6,4,95782.26855787408,96055.74718551719,95807.58050754828,96072.62181863333
"(15,)",95792.2937190936,96067.8718116119,"[28684, 5425]",5425,1,6,4,95798.2937190936,96071.8718116119,95823.6056687678,96088.74644472804
"(16,)",95793.44361592525,96072.26404409409,"[29933, 4176]",4176,1,6,4,95799.44361592525,96076.26404409409,95824.75556559945,96093.13867721023
