CareerAge,mean_pubs_adj,median_pubs_adj,sd_pubs_adj,zero_fraction,minimum_pubs_adj,maximum_pubs_adj,mean_log_pubs_adj,var_log_pubs_adj
0,4.270700868559327,2.9974564058962736,4.2812846429211815,0.0,2.4077762332827263e-05,44.506369852031135,1.1935822831352372,0.786021215905133
1,4.9689392726184165,3.805512185574858,4.361680668913108,0.0,0.0003321016043633662,37.52722557473623,1.3837374463931076,0.690780863123318
2,6.541052077619304,5.128103059521102,5.494939476221319,0.0,0.0021258989285924818,47.45618853750108,1.6323351947703792,0.7302297371642222
3,7.423934035057333,6.005869589203575,6.021133249547651,0.0,7.353467875370612e-05,55.26120693820276,1.7548861420777744,0.7379239213641469
4,8.041995223735016,6.646688427049979,6.283751904776997,0.0,0.0013579786618688194,56.4745665447211,1.8423354681431499,0.7170065395419517
5,8.44517931279309,7.04638983327727,6.504759937159765,0.0,0.0019990923209625144,50.2583761084307,1.8955934757168238,0.7018184169762023
6,7.7204324656259065,6.427500665151842,5.970007381897751,0.0,0.0007947723460459688,48.945509604981325,1.8143926243069388,0.6885737338807116
7,7.502678292614204,6.222640978154171,5.799242252160993,0.0,0.0024236151359811053,46.77451093972919,1.7899862950523027,0.6788288822138523
8,7.268905142285755,5.967703305770199,5.6417330248284365,0.0,0.000954279724595386,49.076126643900814,1.7570977830714598,0.6876649337851303
9,7.265599746282416,6.082973829203702,5.615598456187604,0.0,0.0008586420567499213,46.454046081296354,1.7584783967707263,0.6867354939595482
10,7.219172450992109,5.932735184147583,5.598379951134492,0.0,1.6429743338985947e-05,43.11551684001981,1.7545297029295361,0.6773501733662919
11,7.108838499210635,5.842550826887946,5.640281571980018,0.0,0.0008507393561116849,50.82198064969907,1.7324586926413263,0.6901725153452949
12,6.6940040300136925,5.50498379340679,5.1845149963156825,0.0,0.0008976961188269517,43.04223278958024,1.6882327586371335,0.6625207061779407
13,6.486512595195091,5.331717851819203,5.001738525865632,0.0,0.0007001298774432785,39.554652875047815,1.6653238959566494,0.6423410490195915
14,6.318257421978782,5.218084508554508,4.8615587669021645,0.0,0.0005169761217342916,36.67469918960457,1.638480249366934,0.6527213581185528
15,6.234287074351731,5.114304381736402,4.8223593008003816,0.0,0.0001859553381384771,38.320319008925495,1.6285548089059245,0.6425015319906305
16,6.190317625861406,5.099003150370786,4.841613802295271,0.0,0.0019555757345948166,35.75782183261759,1.6197445880315529,0.6436178331946104
17,6.101114187562465,5.099343616885143,4.7034368123619865,0.0,0.0010221458783883364,38.58842276874593,1.6098759536061262,0.6399188163258783
18,6.128426658698387,5.0245141064591525,4.761298411186831,0.0,0.0033545143474977834,36.95626916948851,1.6060366116924152,0.6601685460194596
19,6.092146237917245,4.989779276983355,4.730079324104977,0.0,0.0006241683155754352,40.88321699419288,1.6054009411405026,0.6450582070134886
20,6.117763305675685,5.024234934486227,4.751578548109924,0.0,0.004398456519797755,37.95554114496875,1.607646013691157,0.6521749837062731
