CareerAge,mean_pubs_adj,median_pubs_adj,sd_pubs_adj,zero_fraction,minimum_pubs_adj,maximum_pubs_adj,mean_log_pubs_adj,var_log_pubs_adj
0,4.332365717067673,3.0286514219904745,4.320732991753558,0.0,0.0003867193613761769,40.69734205438493,1.2060853304283923,0.7866532725430874
1,6.500247403877636,3.6406434340584277,9.225729485266616,0.0247,0.0,164.0444923103351,1.3920189692405227,1.133382788196224
2,7.492896893205243,3.9589540001567785,12.25091992650876,0.0232,0.0,497.5304069386204,1.484778022323744,1.2034177022125225
3,7.742226270176475,4.044857923581249,12.048684439686618,0.0193,0.0,261.49013030648894,1.5148432948697421,1.1866502578331033
4,7.864092781844593,4.118554529152011,13.903822313573613,0.0207,0.0,766.3892467985875,1.5267494347909714,1.1964325828583404
5,8.04723660795352,4.146817737632174,12.551840681309844,0.0162,0.0,241.64916709913905,1.5551960079640044,1.1628801113343679
6,8.298033610637201,4.412299785285868,12.586266660364714,0.0163,0.0,323.18373330714456,1.591855046074428,1.1683930938194493
7,8.380239701911314,4.474402477362069,13.239944879419227,0.0161,0.0,349.7984717703279,1.5925232754530134,1.18109169231733
8,7.952864160983473,4.037938752674124,12.424380485183153,0.024,0.0,248.98324946072785,1.51042164678049,1.2665725603096796
9,7.5611108503907625,3.7509404213844357,12.450041556261407,0.0268,0.0,407.15990185676173,1.44989584789295,1.2822419641505833
10,7.0067897658558635,3.578895100103902,11.071263208357728,0.0319,0.0,238.1607658173151,1.3979429816452862,1.2549104442998775
11,6.858545753140754,3.41738946090009,11.54437213057555,0.0333,0.0,259.86845064917844,1.3599831247324607,1.2679197030649993
12,6.841223713744569,3.354963075148826,13.471790145169503,0.0324,0.0,781.1043005607365,1.354825023741972,1.2554951102029186
13,6.702670791575985,3.3432447957438334,11.045607552746686,0.0359,0.0,278.0211639247799,1.341299820119291,1.2774241700905382
14,6.703191770519077,3.3182548771951583,12.348875161307749,0.033,0.0,364.4159110443069,1.3344249282466214,1.2534981998453074
15,6.647297124991041,3.3095629404927713,10.753908194661161,0.0348,0.0,243.1437432174748,1.3378070937159874,1.2626083239327297
16,6.750027253593459,3.383022251872674,11.103171690303649,0.0333,0.0,186.97815302214292,1.3466463110209979,1.2654852459458104
17,6.7196268414959865,3.2922808577718308,11.462247264464928,0.0341,0.0,261.4179475579257,1.3382845319971894,1.2673360240097595
18,6.500757472464742,3.238670034476355,10.394661319110133,0.0362,0.0,212.53735772773098,1.3170295660038547,1.2701746248063934
19,6.60178161435278,3.2827617582378195,11.080403316267457,0.0352,0.0,241.8280623535367,1.3257062090025846,1.2643935806743105
20,6.601790372419063,3.2452969137831498,10.732472375661718,0.0338,0.0,200.89269831805856,1.327846263706402,1.2607962793602683
